feature,mean_absolute_shap
num_major_vessels,0.1503979052952615
thalassemia,0.09719535171713807
chest_pain_type,0.09713935196523067
sex,0.0882278144306322
st_slope,0.05999481613991641
max_heart_rate,0.05060213237577915
exercise_induced_angina,0.030984910846585816
resting_bp,0.029854316124331266
st_depression,0.027191836470124152
resting_ecg,0.02534488451895828
cholesterol,0.020342893503370315
age,0.009284547072111063
fasting_blood_sugar,0.005883751125742612
