threshold,recall,specificity,precision,f1,false_negatives,false_positives,accuracy,balanced_accuracy
0.1,0.972972972972973,0.3969465648854962,0.5775401069518716,0.7248322147651007,3,79,0.6611570247933884,0.6849597689292346
0.11,0.972972972972973,0.42748091603053434,0.5901639344262295,0.7346938775510203,3,75,0.6776859504132231,0.7002269445017537
0.12000000000000001,0.972972972972973,0.4351145038167939,0.5934065934065934,0.7372013651877134,3,74,0.6818181818181818,0.7040437383948834
0.13,0.972972972972973,0.46564885496183206,0.6067415730337079,0.7474048442906576,3,70,0.6983471074380165,0.7193109139674025
0.14,0.972972972972973,0.48091603053435117,0.6136363636363636,0.7526132404181185,3,68,0.7066115702479339,0.7269445017536621
0.15000000000000002,0.963963963963964,0.4961832061068702,0.6184971098265896,0.7535211267605634,4,66,0.7107438016528925,0.7300735850354171
0.16,0.963963963963964,0.4961832061068702,0.6184971098265896,0.7535211267605634,4,66,0.7107438016528925,0.7300735850354171
0.17,0.963963963963964,0.5114503816793893,0.6257309941520468,0.7588652482269505,4,64,0.71900826446281,0.7377071728216766
0.18,0.963963963963964,0.5419847328244275,0.6407185628742516,0.7697841726618705,4,60,0.7355371900826446,0.7529743483941957
0.19,0.954954954954955,0.549618320610687,0.6424242424242425,0.7681159420289856,5,59,0.7355371900826446,0.752286637782821
0.2,0.9369369369369369,0.5725190839694656,0.65,0.7675276752767527,7,56,0.7396694214876033,0.7547280104532013
0.21000000000000002,0.9369369369369369,0.5954198473282443,0.6624203821656051,0.7761194029850745,7,53,0.7520661157024794,0.7661783921325906
0.22,0.9279279279279279,0.6106870229007634,0.6688311688311688,0.7773584905660377,8,51,0.756198347107438,0.7693074754143456
0.23,0.918918918918919,0.6183206106870229,0.6710526315789473,0.7756653992395438,9,50,0.756198347107438,0.7686197648029709
0.24000000000000002,0.9099099099099099,0.648854961832061,0.6870748299319728,0.7829457364341086,10,46,0.768595041322314,0.7793824358709855
0.25,0.9099099099099099,0.648854961832061,0.6870748299319728,0.7829457364341086,10,46,0.768595041322314,0.7793824358709855
0.26,0.9099099099099099,0.648854961832061,0.6870748299319728,0.7829457364341086,10,46,0.768595041322314,0.7793824358709855
0.27,0.9099099099099099,0.6564885496183206,0.6917808219178082,0.7859922178988327,10,45,0.7727272727272727,0.7831992297641153
0.28,0.9099099099099099,0.6793893129770993,0.7062937062937062,0.795275590551181,10,42,0.7851239669421488,0.7946496114435047
