strategy,mean_accuracy,mean_balanced_accuracy,mean_recall,std_recall,mean_specificity,std_specificity,mean_precision,mean_f1,std_f1,mean_roc_auc,mean_pr_auc
No Treatment,0.8263605442176869,0.8215915002871524,0.7671146245059287,0.06833186217021027,0.8760683760683761,0.07231530271858638,0.8465227354569123,0.8020377236331744,0.05548399776732499,0.8987493665754535,0.8923915375177573
Class Weighting,0.820561224489796,0.8178087452000495,0.7869565217391304,0.06686036840173831,0.8486609686609686,0.07851707126135307,0.8215976374681988,0.8012974443997014,0.05972708468289269,0.8989647872256569,0.8930533879294668
SMOTE,0.8189115646258505,0.8157652331565375,0.7815019762845848,0.0683990467465599,0.85002849002849,0.08212002501790094,0.8224769450916711,0.7988699812109986,0.06285181575475295,0.8981689807776764,0.8914773180801887
