model,accuracy,balanced_accuracy,recall,specificity,precision,f1,roc_auc,pr_auc
LogisticRegression,0.8429752066115702,0.8391444879994499,0.7927927927927928,0.8854961832061069,0.8543689320388349,0.822429906542056,0.9072278385255484,0.8946424252572667
RandomForest,0.8140495867768595,0.8124269307475415,0.7927927927927928,0.8320610687022901,0.8,0.7963800904977375,0.8944364211539783,0.8919408323173637
HistGradientBoosting,0.7933884297520661,0.7892166976136441,0.7387387387387387,0.8396946564885496,0.7961165048543689,0.7663551401869159,0.8594319510350046,0.848316966669711
