model,brier_uncalibrated,brier_calibrated,roc_auc_calibrated,pr_auc_calibrated
LogisticRegression,0.11902864613309252,0.12263186722686135,0.9067464410975862,0.8935961553785019
RandomForest,0.13229833831052787,0.13483774125831327,0.8883157967127433,0.8804497442221675
